time,open,high,low,close,Volume
1764558180,25277.5,25281,25274,25274,100
1764558240,25275.75,25279,25271.25,25273.75,62
1764558300,25273.5,25277.25,25270.5,25275.5,106
1764558360,25275,25275.5,25269.25,25273,102
1764558420,25272.75,25278.5,25272.75,25276.75,60
1764558480,25277.25,25277.25,25272.75,25276,77
1764558540,25275.5,25277.5,25270.5,25271.75,59
1764558600,25273,25273,25258,25258.75,382
1764558660,25259,25263.25,25255.5,25259.75,264
1764558720,25258.75,25258.75,25252.75,25257.5,196
1764558780,25256.75,25258,25252.75,25253.75,99
1764558840,25253.75,25253.75,25244.25,25250,310
1764558900,25249.75,25262.25,25241.5,25261.25,430
1764558960,25261,25263.25,25250.25,25253.5,221
1764559020,25253.75,25258,25247.75,25254.25,186
1764559080,25254.25,25257,25250,25250.25,113
1764559140,25250.25,25257.25,25246,25257,135
1764559200,25257.25,25259,25250.75,25252.5,96
1764559260,25252.5,25252.75,25246.5,25250,81
1764559320,25250.75,25251.5,25248,25249.5,35
1764559380,25249.5,25249.5,25245,25245.25,110
1764559440,25245.75,25247.75,25241,25247.25,157
1764559500,25247,25249.5,25245.25,25248.5,67
1764559560,25248.5,25253.75,25246.5,25253,112
1764559620,25254,25256.25,25251,25252,112
1764559680,25254,25255.75,25247.5,25254.25,149
1764559740,25253.75,25261.25,25253.75,25257.5,217
1764559800,25255,25257.5,25250,25254,129
1764559860,25252.75,25254,25250.75,25253.75,32
1764559920,25252.75,25252.75,25245.25,25252.75,93
1764559980,25253,25253,25250.75,25252,53
1764560040,25252,25253.5,25246,25247.25,93
1764560100,25246.75,25249.5,25242,25246.25,112
1764560160,25246.25,25246.25,25241,25244.25,105
1764560220,25243.25,25250.25,25243.25,25247.25,128
1764560280,25247,25247,25242,25242.5,34
1764560340,25242,25245.25,25237.25,25242.5,249
1764560400,25242.75,25252.5,25242.75,25249,180
1764560460,25249.5,25253.75,25248.5,25249.75,80
1764560520,25249.75,25250,25243.75,25247.5,68
1764560580,25246.25,25256.25,25246,25248.5,144
1764560640,25249.25,25255.5,25249.25,25254.5,93
1764560700,25254.75,25263.75,25254.75,25260.5,209
1764560760,25261.5,25269.75,25260.5,25264.75,246
1764560820,25264,25265.25,25258.5,25264.25,187
1764560880,25264,25267.25,25257.5,25265,128
1764560940,25265.5,25267.5,25265,25266,70
1764561000,25266,25267,25262,25262.25,80
1764561060,25262.75,25266.25,25260.5,25262.5,56
1764561120,25263.25,25266.5,25262,25263.25,29
1764561180,25263.5,25265.25,25258.25,25259.25,63
1764561240,25258.5,25260.5,25256,25258,79
1764561300,25258.5,25258.5,25252.25,25255.25,106
1764561360,25255,25258.25,25251.5,25257.5,76
1764561420,25257.5,25260.25,25256.5,25260,57
1764561480,25260.75,25265,25259.75,25263.25,133
