Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-01 14:21:00+02:00,2025-10-01 14:21:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 14:23:00+02:00,2025-10-01 14:23:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 14:25:00+02:00,2025-10-01 14:27:00+02:00,SHORT,5.25,2.0,Divergence
2025-10-01 14:29:00+02:00,2025-10-01 14:31:00+02:00,SHORT,2.75,2.0,Divergence
2025-10-01 14:33:00+02:00,2025-10-01 14:36:00+02:00,SHORT,1.75,3.0,Divergence
2025-10-01 14:40:00+02:00,2025-10-01 14:43:00+02:00,LONG,-3.0,3.0,Divergence
2025-10-01 14:45:00+02:00,2025-10-01 14:46:00+02:00,SHORT,-1.5,1.0,Divergence
2025-10-01 14:48:00+02:00,2025-10-01 14:49:00+02:00,LONG,1.5,1.0,Divergence
2025-10-01 14:51:00+02:00,2025-10-01 14:54:00+02:00,SHORT,13.0,3.0,Divergence
2025-10-01 14:57:00+02:00,2025-10-01 14:57:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 14:59:00+02:00,2025-10-01 14:59:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 15:01:00+02:00,2025-10-01 15:02:00+02:00,LONG,10.5,1.0,Divergence
2025-10-01 15:05:00+02:00,2025-10-01 15:05:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 15:07:00+02:00,2025-10-01 15:08:00+02:00,SHORT,0.75,1.0,Divergence
2025-10-01 15:10:00+02:00,2025-10-01 15:10:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 15:15:00+02:00,2025-10-01 15:17:00+02:00,LONG,-2.0,2.0,Divergence
2025-10-01 15:19:00+02:00,2025-10-01 15:21:00+02:00,LONG,-2.5,2.0,Divergence
2025-10-01 15:23:00+02:00,2025-10-01 15:24:00+02:00,SHORT,1.0,1.0,Divergence
2025-10-01 15:26:00+02:00,2025-10-01 15:26:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 15:28:00+02:00,2025-10-01 15:29:00+02:00,SHORT,-7.5,1.0,Divergence
2025-10-01 15:31:00+02:00,2025-10-01 15:33:00+02:00,SHORT,-72.0,2.0,Divergence
2025-10-01 15:35:00+02:00,2025-10-01 15:39:00+02:00,SHORT,-1.75,4.0,Divergence
2025-10-01 15:41:00+02:00,2025-10-01 15:42:00+02:00,SHORT,7.5,1.0,Divergence
2025-10-01 15:44:00+02:00,2025-10-01 15:52:00+02:00,LONG,-65.0,8.0,Divergence
2025-10-01 15:54:00+02:00,2025-10-01 15:55:00+02:00,LONG,2.75,1.0,Divergence
2025-10-01 15:57:00+02:00,2025-10-01 15:58:00+02:00,LONG,-7.25,1.0,Divergence
2025-10-01 16:00:00+02:00,2025-10-01 16:02:00+02:00,LONG,13.25,2.0,Divergence
2025-10-01 16:04:00+02:00,2025-10-01 16:06:00+02:00,LONG,4.75,2.0,Divergence
2025-10-01 16:08:00+02:00,2025-10-01 16:08:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 16:10:00+02:00,2025-10-01 16:11:00+02:00,LONG,5.5,1.0,Divergence
2025-10-01 16:15:00+02:00,2025-10-01 16:15:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 16:17:00+02:00,2025-10-01 16:17:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 16:19:00+02:00,2025-10-01 16:20:00+02:00,LONG,12.5,1.0,Divergence
2025-10-01 16:23:00+02:00,2025-10-01 16:23:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 16:25:00+02:00,2025-10-01 16:28:00+02:00,LONG,15.5,3.0,Divergence
2025-10-01 16:30:00+02:00,2025-10-01 16:33:00+02:00,SHORT,0.5,3.0,Divergence
